dataset,seed,budget,corr_threshold,cluster_id,cluster_size,representative_rule_id,representative_importance,selected
covtype_binary_20000,1,50,0.75,70,9,359,18.043911706100044,1
covtype_binary_20000,1,50,0.75,71,13,609,18.043911706100044,1
covtype_binary_20000,1,50,0.75,72,9,64,17.727508543339656,0
covtype_binary_20000,1,50,0.75,73,1,32,0.011170629727558556,0
covtype_binary_20000,1,50,0.75,74,1,373,-0.0015440225379488304,0
covtype_binary_20000,1,50,0.75,75,6,722,18.043911706100044,1
covtype_binary_20000,1,50,0.75,76,12,847,18.043911706100044,1
covtype_binary_20000,1,50,0.75,77,7,786,18.043911706100044,1
covtype_binary_20000,1,50,0.75,78,9,212,17.724094822006773,0
covtype_binary_20000,1,50,0.75,79,1,477,0.013345839433149376,0
covtype_binary_20000,1,50,0.75,80,12,34,16.993715250450094,0
covtype_binary_20000,1,50,0.75,81,6,830,18.043911706100044,1
covtype_binary_20000,1,50,0.75,82,7,554,17.884171267914102,0
covtype_binary_20000,1,50,0.75,83,12,53,16.220746777190833,0
covtype_binary_20000,1,50,0.75,84,6,835,18.043911706100044,1
covtype_binary_20000,1,50,0.75,85,6,667,18.043911706100044,1
covtype_binary_20000,1,50,0.75,86,10,89,15.704573650026425,0
covtype_binary_20000,1,50,0.75,87,7,107,18.013233508478233,1
covtype_binary_20000,1,50,0.75,88,7,175,17.546315518794454,0
covtype_binary_20000,1,50,0.75,89,7,216,17.607427386490198,0
covtype_binary_20000,1,50,0.75,90,8,226,17.949511542844817,0
covtype_binary_20000,1,50,0.85,1,9,424,18.001515209906387,0
covtype_binary_20000,1,50,0.85,2,12,563,18.043911706100044,1
covtype_binary_20000,1,50,0.85,3,15,466,18.043911706100044,1
covtype_binary_20000,1,50,0.85,4,1,103,0.0016685233301324542,0
covtype_binary_20000,1,50,0.85,5,18,101,18.043911706100044,1
covtype_binary_20000,1,50,0.85,6,3,295,18.02199090177309,1
covtype_binary_20000,1,50,0.85,7,6,539,18.043911706100044,1
covtype_binary_20000,1,50,0.85,8,23,491,18.043911706100044,1
covtype_binary_20000,1,50,0.85,9,1,129,0.3126433159738376,0
covtype_binary_20000,1,50,0.85,10,7,661,18.043911706100044,1
covtype_binary_20000,1,50,0.85,11,2,182,0.27242631377089327,0
covtype_binary_20000,1,50,0.85,12,12,643,18.043911706100044,1
