dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard,meta_cluster_jaccard
covtype_binary_20000,50,loro_bce,0.75,13,29,0.07526881720430108,0.46153846153846156
covtype_binary_20000,50,loro_bce,0.75,13,31,0.13636363636363635,0.5
covtype_binary_20000,50,loro_bce,0.75,13,37,0.14942528735632185,0.42857142857142855
covtype_binary_20000,50,loro_bce,0.75,13,41,0.13636363636363635,0.5833333333333334
covtype_binary_20000,50,loro_bce,0.75,13,43,0.08695652173913043,0.6153846153846154
covtype_binary_20000,50,loro_bce,0.75,19,23,0.13636363636363635,0.5833333333333334
covtype_binary_20000,50,loro_bce,0.75,19,29,0.06382978723404255,0.5384615384615384
covtype_binary_20000,50,loro_bce,0.75,19,31,0.08695652173913043,0.5625
covtype_binary_20000,50,loro_bce,0.75,19,37,0.06382978723404255,0.4
covtype_binary_20000,50,loro_bce,0.75,19,41,0.07526881720430108,0.5384615384615384
covtype_binary_20000,50,loro_bce,0.75,19,43,0.06382978723404255,0.5714285714285714
covtype_binary_20000,50,loro_bce,0.75,23,29,0.13636363636363635,0.6153846153846154
covtype_binary_20000,50,loro_bce,0.75,23,31,0.06382978723404255,0.4444444444444444
covtype_binary_20000,50,loro_bce,0.75,23,37,0.05263157894736842,0.4666666666666667
covtype_binary_20000,50,loro_bce,0.75,23,41,0.07526881720430108,0.6153846153846154
covtype_binary_20000,50,loro_bce,0.75,23,43,0.06382978723404255,0.7692307692307693
covtype_binary_20000,50,loro_bce,0.75,29,31,0.06382978723404255,0.35
covtype_binary_20000,50,loro_bce,0.75,29,37,0.12359550561797752,0.5333333333333333
covtype_binary_20000,50,loro_bce,0.75,29,41,0.12359550561797752,0.4666666666666667
covtype_binary_20000,50,loro_bce,0.75,29,43,0.05263157894736842,0.5
covtype_binary_20000,50,loro_bce,0.75,31,37,0.12359550561797752,0.3333333333333333
covtype_binary_20000,50,loro_bce,0.75,31,41,0.0989010989010989,0.5882352941176471
covtype_binary_20000,50,loro_bce,0.75,31,43,0.0989010989010989,0.6111111111111112
covtype_binary_20000,50,loro_bce,0.75,37,41,0.21951219512195122,0.4375
covtype_binary_20000,50,loro_bce,0.75,37,43,0.14942528735632185,0.47058823529411764
covtype_binary_20000,50,loro_bce,0.75,41,43,0.12359550561797752,0.6
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,7,0.041666666666666664,0.65
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,13,0.06382978723404255,0.5238095238095238
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,19,0.030927835051546393,0.5263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,23,0.05263157894736842,0.5555555555555556
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,29,0.08695652173913043,0.3333333333333333
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,31,0.06382978723404255,0.6666666666666666
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,37,0.06382978723404255,0.5714285714285714
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,41,0.05263157894736842,0.6363636363636364
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,43,0.030927835051546393,0.6190476190476191
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,13,0.041666666666666664,0.55
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,19,0.0989010989010989,0.47368421052631576
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,23,0.08695652173913043,0.5
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,29,0.041666666666666664,0.34782608695652173
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,31,0.041666666666666664,0.5454545454545454
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,37,0.030927835051546393,0.5238095238095238
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,41,0.030927835051546393,0.5909090909090909
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,43,0.07526881720430108,0.5714285714285714
covtype_binary_20000,50,c_prune_loro_bce,0.75,13,19,0.05263157894736842,0.5
covtype_binary_20000,50,c_prune_loro_bce,0.75,13,23,0.06382978723404255,0.625
covtype_binary_20000,50,c_prune_loro_bce,0.75,13,29,0.010101010101010102,0.5
covtype_binary_20000,50,c_prune_loro_bce,0.75,13,31,0.041666666666666664,0.5714285714285714
covtype_binary_20000,50,c_prune_loro_bce,0.75,13,37,0.041666666666666664,0.631578947368421
covtype_binary_20000,50,c_prune_loro_bce,0.75,13,41,0.06382978723404255,0.4782608695652174
covtype_binary_20000,50,c_prune_loro_bce,0.75,13,43,0.041666666666666664,0.6
covtype_binary_20000,50,c_prune_loro_bce,0.75,19,23,0.0989010989010989,0.6428571428571429
covtype_binary_20000,50,c_prune_loro_bce,0.75,19,29,0.02040816326530612,0.5
covtype_binary_20000,50,c_prune_loro_bce,0.75,19,31,0.041666666666666664,0.5
covtype_binary_20000,50,c_prune_loro_bce,0.75,19,37,0.05263157894736842,0.47368421052631576
covtype_binary_20000,50,c_prune_loro_bce,0.75,19,41,0.041666666666666664,0.55
covtype_binary_20000,50,c_prune_loro_bce,0.75,19,43,0.030927835051546393,0.5263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.75,23,29,0.041666666666666664,0.5294117647058824
covtype_binary_20000,50,c_prune_loro_bce,0.75,23,31,0.030927835051546393,0.5263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.75,23,37,0.02040816326530612,0.5
covtype_binary_20000,50,c_prune_loro_bce,0.75,23,41,0.030927835051546393,0.5
covtype_binary_20000,50,c_prune_loro_bce,0.75,23,43,0.08695652173913043,0.6470588235294118
covtype_binary_20000,50,c_prune_loro_bce,0.75,29,31,0.06382978723404255,0.43478260869565216
covtype_binary_20000,50,c_prune_loro_bce,0.75,29,37,0.02040816326530612,0.47619047619047616
covtype_binary_20000,50,c_prune_loro_bce,0.75,29,41,0.05263157894736842,0.4782608695652174
covtype_binary_20000,50,c_prune_loro_bce,0.75,29,43,0.030927835051546393,0.45454545454545453
covtype_binary_20000,50,c_prune_loro_bce,0.75,31,37,0.05263157894736842,0.6190476190476191
covtype_binary_20000,50,c_prune_loro_bce,0.75,31,41,0.07526881720430108,0.6086956521739131
covtype_binary_20000,50,c_prune_loro_bce,0.75,31,43,0.030927835051546393,0.6666666666666666
